nama_produk,price,image-src,description
"Sepatu Olahraga R 296","Rp. 169.000","http://sepatucibaduyut.web.id/toko/5612-6325-home/sepatu-olahraga-r-296.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 38 - 43 Warna : BirKom Merk : Garsel Shoes"
"Sepatu Olahraga R 315","Rp. 174.000","http://sepatucibaduyut.web.id/toko/5624-6337-home/sepatu-olahraga-r-315.jpg","Bahan : Kulit Sol : PVC Ukuran : 38 - 43 Warna : BirKom Merk : Garsel Shoes"
"Olahraga Pria 684 617-04","Rp. 168.000","http://sepatucibaduyut.web.id/toko/6291-7022-home/olahraga-pria-684-617-04.jpg","Bahan : Suide Sol : TPR Ukuran : 38 - 43 Warna : Hitam Kombinasi Merk : Azzurra"
"Sepatu Olahraga Pria 155BEN 978","Rp. 134.000","http://sepatucibaduyut.web.id/toko/3231-3904-home/sepatu-olahraga-pria-155ben-978.jpg","Bahan : Non Kulit Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 1170BIN 376","Rp. 127.000","http://sepatucibaduyut.web.id/toko/3243-3916-home/sepatu-olahraga-pria-1170bin-376.jpg","Bahan : P.U Ukuran : 39 - 43 Produk : BSM SOGA"
"Sepatu Olahraga R 318","Rp. 174.000","http://sepatucibaduyut.web.id/toko/5627-6340-home/sepatu-olahraga-r-318.jpg","Bahan : Kulit Sol : PVC Ukuran : 38 - 43 Warna : HtmKom Merk : Garsel Shoes"
"Sepatu Olahraga R 285","Rp. 158.000","http://sepatucibaduyut.web.id/toko/5596-6309-home/sepatu-olahraga-r-285.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 38 - 43 Warna : PthHtm Merk : Garsel Shoes"
"Sepatu Olahraga Pria 216 IR 012","Rp. 140.000","http://sepatucibaduyut.web.id/toko/5273-5987-home/sepatu-olahraga-pria-216-ir-012.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 213 NS 033","Rp. 165.000","http://sepatucibaduyut.web.id/toko/5270-5984-home/sepatu-olahraga-pria-213-ns-033.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 1173BIN 370","Rp. 127.000","http://sepatucibaduyut.web.id/toko/3247-3919-home/sepatu-olahraga-pria-1173bin-370.jpg","Bahan : P.U Ukuran : 39 - 43 Produk : BSM SOGA"
"Sepatu Olahraga R 289","Rp. 208.000","http://sepatucibaduyut.web.id/toko/5602-6315-home/sepatu-olahraga-r-289.jpg","Bahan : PU-PVC Sol : TPR Ukuran : 38 - 43 Warna : HtmAbu Merk : Garsel Shoes"
"Sepatu Olahraga R 299","Rp. 158.000","http://sepatucibaduyut.web.id/toko/5616-6329-home/sepatu-olahraga-r-299.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 38 - 43 Warna : MrhGold Merk : Garsel Shoes"
